Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,28265,-,-,India,26.55,75.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2014,1,1,0,30,0,0,0,0,0,0,-4,11.4701790743,974.8905029297,31.7645601093,176.5029396057,1.1486266202,0,89.4296340942,3.827334404,0,,,,,,,,,,,,,,
2014,1,1,1,30,0,0,0,0,0,0,-4,10.942516844,974.7222290039,33.3151559352,166.155587314,1.2060340878,0,88.0383148193,3.719974041,0,,,,,,,,,,,,,,
2014,1,1,2,30,0,0,0,0,0,0,-4,10.4625652406,974.5180053711,34.873389493,152.8172412218,1.2533486453,0,87.1935653687,3.481867075,0,,,,,,,,,,,,,,
2014,1,1,3,30,0,0,0,0,0,0,-4,10.0777817487,974.2635498047,36.3157905004,139.4193945514,1.304086042,0,87.4972991943,3.2531814575,0,,,,,,,,,,,,,,
2014,1,1,4,30,0,0,0,0,0,0,-4,9.7863841368,974.5728759766,37.4943859062,126.1297684729,1.3708547587,0,87.2409896851,3.1039025784,0,,,,,,,,,,,,,,
2014,1,1,5,30,0,0,0,0,0,0,0,5.7413903255,978.2362060547,68.253504222,113.0660946984,0.4723975231,0,33.2670288086,1.9018551111,0,,,,,,,,,,,,,,
2014,1,1,6,30,0,0,0,0,0,0,1,5.472271376,978.6672363281,74.2398017369,100.3055133455,0.4808746965,0,44.7200889587,1.6544134617,0,,,,,,,,,,,,,,
2014,1,1,7,30,3,0,3,10,25,11,2,7.4039085968,979.1419067383,72.6565546146,88.0322096866,0.4909966602,0,53.9951972961,1.5040125847,0,,,,,,,,,,,,,,
